league,tier
155,
18U AAA,Club
2.GBUN,Minor Professional
3.GBUN,Minor Professional
AAA,Club
AH U15,Club
AH U16,Club
AHA,NCAA Division 1
AHC,NCAA Division 1
AHL,Minor Professional
AHMMPL,Club
AIHL,Minor Professional
AJHL,Junior A
ALLIANCE,Club
ALLSV,Minor Professional
AMBHL,Club
AMHL,Club
AMMHL,Club
ATJHL,
AYBHL,
AYHL,
B1G,NCAA Division 1
BANTAM AAA,Club
BANTAM,Club
BCHL,Junior A
BCMMHL,
BCMML,
BEL-2,
BLR.2,
BXL,
CAHS,
CCHA,NCAA Division 1
CCHL,Junior A
CHA,NCAA Division 1
CHL,Minor Professional
CIS,
CISAA,
CJHL,Junior A
COJHL,Junior C
CSHL,Tier 3
CSSHL,High School
CZE U16,
CZE U18,
CZE U20,
CZE-2 U20,
CZE-3,
CZE.2 U18,
CZE.2 U20,
CZE.2,
CZE.3 U20,
CZECH.1,
CZECH.16,
CZECH.18,
CZECH.19,
CZECH.2,
CZECH.20,
DEL,
DEN U17,
DEN U20,
DEN,
DEN-2,
DEN.2,
DIV.1,
DIV.2,
DIV.3,
DNL,
EBEL,
ECAC,
ECHL,Minor Pro
EHL U16,Club
EHL,Tier 3
EJEPL,
EJHL,
ELH,
ELITE JR. A,
ELITE. A,
EMJHL,
EOJHL,
ETA U16,
ETA U18,
ETA,
ETAHL,
ETAMMHL,
ETHL,
FIN U16,
FIN U18 Q,
FIN U18,
FIN U20,
FIN.2 U16,
FIN.3 U18 Q,
FIN.3 U18,
FIN.4,
FRA U22,
FRA,
GET,
GHL,Junior B
GLJHL,
GNML,
GOJHL,Junior B
GTBHL,
GTHL U16 AAA,Club
GTHL U16,Club
GTHL,Club
GTMMHL,
HCBAA,Club
HE,NCAA Division 1
HEO U16,
HNO,
HPHL U18,
HPHL,
HS-CT,High School
HS-MA,High School
HS-MB,High School
HS-ME,High School
HS-MI,High School
HS-MN,High School
HS-MO,High School
HS-NJ,High School
HS-PA,High School
HS-PREP,High School
HS-RI,High School
HS-WI,High School
HSBC,
HSMN,
HSON,
HSWI,
HUN,
ICEHL,
IND,
ITA.2,
J18 ALLSV,
J18,
J20 ELIT,
J20,
JR. A,
KHL,Minor Professional
KIJHL,Junior B
LIIGA,
LSLBAA,
MC,
MESTIS,
METJHL,
MHL,Junior A
MHSEL,
MIDGET AAA,Club
MIDGET,Club
MJAHL,
MJBHL,
MJHL,Junior A
MMHL,
MNHS,
MPHL,
MSHL,
MSHSL,
MWEHL,
MWJHL,
NAHL,Tier 2
NAPHL,
NCDC,Tier 2
NCHC,
NHL,Professional
NL,
NLA,
NLB,
NOBHL,
NOHA U15,
NOJHL,Junior A
NOR U18,
NOR U19,
NPHL,
NSAAA,
NSMMHL,
ODMHA,
OEMHL,
OHL,Major Junior
OJHL,Junior A
OPJHL,Junior A
OUA,
PEEWEE AAA,AAA
PIJHL,
PREP,
QJAAAHL,
QJAHL,
QMAAA,
QMEAA,
QMJHL,Major Junior
QUE-HS,
REMHL,
RSL,
RUS U17,
RUS-3,
RUS-U16,
RUS-U17,
RUS.2,
RUS.3,
RUS.4,
SCT U16,
SCTA,
SCTAMM,
SEL,
SHL,
SIJHL,Junior A
SJHL,Junior A
SL,
SLOVAK,
SLOVAK.1,
SM-L,
SMAAAHL,
SMHL,
SUI U17,
SUI U20,
SUI.2 U20,
SUI.4,
SVK U18,
SVK U20,
SVK,
SVK.2 U18,
SVK.2 U20,
SVK.2,
SVN U18,
SVN U20,
SVN,
SWE U18,
SWE.2 U20,
SWE.3 U20,
SWE.3,
SWE.4,
T1EHL 16U,
T1EHL,
TBJBHL,
TVP,
U16 AA,
U16 AAA,
U20,
UHL,
USDP,
USHL,Tier 1
USHS,
USPHL 16U,
USPHL,
VHL,
VIJHL,
WCHA,NCAA Division 1
WHCA,
WHL,Major Junior
WOHL,